FeatureSet,Model,AUC,Accuracy,F1,Balanced_Accuracy_default,Balanced_Accuracy_tuned,Threshold_mean
Baseline,Logistic Regression,0.706 +- 0.114,0.602,0.577,0.606,0.728,0.537
Baseline,Random Forest,0.697 +- 0.113,0.651,0.531,0.631,0.716,0.463
Baseline,Gradient Boosting,0.616 +- 0.116,0.576,0.487,0.566,0.664,0.549
ODE-only,Logistic Regression,0.590 +- 0.159,0.580,0.476,0.564,0.668,0.485
ODE-only,Random Forest,0.634 +- 0.127,0.619,0.503,0.600,0.694,0.428
ODE-only,Gradient Boosting,0.577 +- 0.113,0.600,0.497,0.583,0.658,inf
Hybrid,Logistic Regression,0.706 +- 0.130,0.625,0.605,0.631,0.731,0.530
Hybrid,Random Forest,0.706 +- 0.121,0.648,0.518,0.626,0.727,0.402
Hybrid,Gradient Boosting,0.643 +- 0.109,0.576,0.508,0.571,0.693,0.521
Hybrid-RFECV,Logistic Regression,0.706 +- 0.131,0.625,0.605,0.631,0.731,0.530
Hybrid-RFECV,Random Forest,0.699 +- 0.136,0.667,0.565,0.651,0.719,0.533
Hybrid-RFECV,Gradient Boosting,0.645 +- 0.111,0.599,0.529,0.592,0.693,0.463
