feature,importance,std
WSS_mean,3.852080123266655e-05,0.00011556240369799963
c_end,2.2204460492503132e-17,4.4408920985006264e-17
AUC_i,2.2204460492503132e-17,4.440892098500627e-17
length,2.2204460492503132e-17,4.440892098500627e-17
vesselDiameter,1.1102230246251566e-17,3.33066907387547e-17
ellipsoidMinSemiaxis,1.1102230246251566e-17,3.33066907387547e-17
i_max,1.1102230246251566e-17,3.33066907387547e-17
delta_r,1.1102230246251566e-17,3.33066907387547e-17
r_end,1.1102230246251566e-17,3.33066907387547e-17
r0,1.1102230246251566e-17,3.33066907387547e-17
sacVolume,1.1102230246251566e-17,3.33066907387547e-17
sizeRatio_star,1.1102230246251566e-17,3.33066907387547e-17
meanCurvature,1.1102230246251566e-17,3.33066907387547e-17
maxCurvature,1.1102230246251566e-17,3.33066907387547e-17
meanRadius,0.0,0.0
ostiumShapeFactor,0.0,0.0
aspectRatio_star,0.0,0.0
tortuosity,0.0,0.0
c_min,0.0,0.0
maxRadius,0.0,0.0
I,0.0,0.0
I_dur,0.0,0.0
I_auc,0.0,0.0
